timestamp,data1,data2,data3,data4,data5,data6,label
2.039,-0.08032,0.81982,0.66174,23.01025,-34.91211,13.48877,1
2.05,-0.07886,0.81482,0.67322,22.09472,-32.83691,11.90185,1
2.061,-0.11255,0.7876,0.66248,25.02441,-31.12793,10.92529,1
2.071,-0.11646,0.77869,0.62769,29.90722,-30.51758,10.98633,1
2.082,-0.11304,0.78064,0.59253,33.02002,-30.57861,10.98633,1
2.092,-0.11047,0.7915,0.5863,31.06689,-30.57861,10.55908,1
2.103,-0.11182,0.80249,0.60059,26.18408,-30.51758,10.55908,1
2.114,-0.11255,0.80408,0.61401,22.82715,-31.00586,11.35254,1
2.124,-0.10767,0.80103,0.61133,23.4375,-32.53174,12.146,1
2.135,-0.104,0.80188,0.60205,29.72412,-31.61621,12.63428,1
2.145,-0.11011,0.80554,0.60242,31.92138,-28.44238,12.93945,1
2.156,-0.11633,0.8125,0.60767,32.83691,-26.48926,13.18359,1
2.167,-0.10852,0.82495,0.6095,32.59277,-26.06201,13.06152,1
2.177,-0.09143,0.83618,0.61035,32.59277,-26.36719,12.20703,1
2.188,-0.08093,0.84033,0.61121,33.63037,-26.48926,10.74219,1
2.199,-0.08435,0.83789,0.60474,34.729,-25.6958,9.82666,1
2.209,-0.09753,0.83472,0.59692,34.79004,-24.10888,9.94873,1
2.22,-0.10034,0.83606,0.60388,33.99658,-22.52197,10.0708,1
2.23,-0.0929,0.84106,0.59937,32.83691,-21.54541,9.52148,1
2.241,-0.09058,0.8407,0.58667,31.92138,-21.1792,9.21631,1
2.252,-0.08899,0.83203,0.57629,30.94482,-21.05713,9.94873,1
2.262,-0.07605,0.83057,0.56909,30.57861,-20.20263,10.92529,1
2.273,-0.04919,0.83875,0.54565,32.89795,-18.49365,10.74219,1
2.284,-0.02893,0.84045,0.50281,36.8042,-16.60156,8.17871,1
2.294,-0.0304,0.83142,0.46558,35.03418,-13.91601,0.85449,1
2.305,-0.04456,0.81311,0.43982,30.15137,-13.67187,-0.97656,1
2.315,-0.05847,0.78687,0.41357,24.84131,-14.70947,-1.34277,1
2.326,-0.05786,0.77356,0.40076,20.56885,-15.31982,-0.97656,1
2.337,-0.0387,0.7793,0.40784,18.98193,-13.3667,-2.01416,1
2.347,-0.02148,0.78394,0.40161,18.9209,-8.8501,-3.479,1
2.358,-0.01599,0.77136,0.35876,16.17432,-3.72314,-2.50244,1
2.368,-0.01685,0.74341,0.29456,8.60596,-0.54932,1.09863,1
2.379,0.00708,0.70898,0.21753,-1.46484,0.18311,5.12695,1
2.39,0.0249,0.70557,0.20508,-11.1084,0.54932,6.5918,1
2.4,0.02856,0.70496,0.20312,-21.30127,2.56348,5.00488,1
2.411,0.02588,0.70642,0.21179,-33.93555,7.20215,4.15039,1
2.422,0.02844,0.6969,0.22632,-47.85156,13.00049,6.71387,1
2.432,0.02673,0.66919,0.23718,-60.18066,17.63916,10.13183,1
2.443,0.00916,0.63171,0.22595,-70.43457,19.83643,10.25391,1
2.453,-0.00745,0.60693,0.20776,-97.71728,21.78955,14.46533,1
2.464,0.00513,0.60229,0.22119,-112.73193,25.32959,24.59717,1
2.475,0.03235,0.59863,0.26343,-121.58202,28.56445,30.39551,1
2.485,0.04822,0.58789,0.30408,-124.63378,27.03857,28.19824,1
2.496,0.05725,0.57275,0.32715,-126.2207,18.67676,21.91162,1
2.507,0.06555,0.55005,0.34412,-129.63867,5.79834,15.625,1
2.517,0.07324,0.52405,0.37671,-133.97217,-6.65283,12.3291,1
2.528,0.08594,0.50293,0.41956,-136.65771,-14.52637,13.12256,1
2.538,0.12329,0.4729,0.48572,-138.61084,-18.31055,16.17432,1
2.549,0.14258,0.46594,0.52246,-142.45605,-20.69092,18.9209,1
2.56,0.16455,0.46069,0.56287,-148.55957,-22.82715,19.47021,1
2.57,0.18323,0.44946,0.59595,-155.27344,-24.04785,16.96777,1
2.581,0.18677,0.4314,0.63184,-161.92625,-24.10888,11.90185,1
2.591,0.16833,0.40662,0.6814,-168.70116,-22.64404,6.5918,1
